Activity,livingroom_tempterature,livingroom_humidity,livingroom_luminance,study_tempterature,study_humidity,study_luminance,kitchen_tempterature,kitchen_humidity,kitchen_luminance,hallway_tempterature,hallway_humidity,hallway_luminance,bedroom_tempterature,bedroom_humidity,bedroom_luminance,light_livingroom,light_hallway,light_bedroom,light_kitchen,light_study,switch_door_hallway,audio_livingroom,current_watercoldfan_livingroom,current_lamp_bedroom,current_PC_bedroom,current_TV_livingroom,current_lamp_livingroom,current_xbox_livingroom,current_microwave_kitchen,current_AC_bedroom,current_AC_livingroom,current_lamp_study,current_NB_study,current_nightlamp_bedroom,people_hallway,people_livingroom,people_bedroom,people_kitchen,people_study,Timestamp
 PlayingKinect,24.65,56.79,96.6,26.06,49.02,4.2,27.82,44.73,15.05,27.02,54.36,24,25.27,50.92,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-52
 PlayingKinect,24.65,56.79,96.6,26.07,49.02,6.3,27.82,44.66,10.75,27.01,54.47,18,25.26,50.92,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-53
 PlayingKinect,24.65,56.79,96.6,26.05,49.07,8.4,27.81,44.66,15.05,27.01,54.47,18,25.28,50.92,9,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-54
 PlayingKinect,24.65,56.79,96.6,26.05,49.02,4.2,27.81,44.66,15.05,27.01,54.36,16,25.27,50.92,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-55
 PlayingKinect,24.65,56.79,96.6,26.05,49.02,4.2,27.82,44.6,10.75,27.01,54.36,16,25.27,50.92,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-55
 PlayingKinect,24.65,56.84,96.6,26.06,49.02,4.2,27.82,44.6,10.75,27.01,54.36,16,25.26,51.05,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-56
 PlayingKinect,24.65,56.92,96.6,26.06,49.02,4.2,27.82,44.6,12.9,27.01,54.59,16,25.26,51.05,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-57
 PlayingKinect,24.65,56.92,96.6,26.07,49.02,4.2,27.83,44.6,19.35,27,54.59,24,25.27,51.1,13.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-58
 PlayingKinect,24.65,56.92,96.6,26.08,49.02,6.3,27.82,44.48,12.9,27,54.72,16,25.26,51.1,13.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-45-59
 PlayingKinect,24.64,56.79,96.6,26.08,49.02,6.3,27.82,44.48,10.75,27.01,55.03,16,25.27,51.1,4.5,  on_55_0,  off,  off,  off,  off,  off,  off,  standby,  off,  standby,  on,  off,  on,  standby,  standby,  standby,  standby,  standby,  off,  off, on,  off,  off,  off,  2014-08-11-05-46-00
