Activity,livingroom_luminance
 UsingNoteBook,23.1
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,16.8
 UsingNoteBook,12.6
 UsingNoteBook,14.7
 UsingNoteBook,18.9
 UsingNoteBook,18.9
 UsingNoteBook,12.6
 UsingNoteBook,25.2
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,14.7
 UsingNoteBook,12.6
 UsingNoteBook,21
 UsingNoteBook,12.6
 UsingNoteBook,23.1
 UsingNoteBook,14.7
 UsingNoteBook,18.9
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,12.6
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,12.6
 UsingNoteBook,8.4
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,23.1
 UsingNoteBook,14.7
 UsingNoteBook,14.7
 UsingNoteBook,10.5
 UsingNoteBook,16.8
 UsingNoteBook,10.5
 UsingNoteBook,21
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,10.5
 UsingNoteBook,18.9
 UsingNoteBook,18.9
 UsingNoteBook,14.7
 UsingPC,10.5
 UsingPC,8.4
 UsingPC,23.1
 UsingPC,8.4
 UsingPC,12.6
 UsingPC,12.6
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,18.9
 UsingPC,10.5
 UsingPC,8.4
 UsingPC,10.5
 UsingPC,14.7
 UsingPC,8.4
 UsingPC,16.8
 UsingPC,10.5
 UsingPC,10.5
 UsingPC,10.5
 UsingPC,10.5
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,6.3
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,6.3
 UsingPC,6.3
 UsingPC,10.5
 UsingPC,10.5
 UsingPC,8.4
 UsingPC,14.7
 UsingPC,10.5
 UsingPC,8.4
 UsingPC,8.4
 UsingPC,21
 UsingPC,10.5
 UsingPC,8.4
 UsingPC,10.5
 UsingPC,8.4
 UsingPC,10.5
