X	Y	Z	Pitch	Roll
4.850503	-6.5803137	2.43206	13.50596	-21.229216
3.4977791	-7.5403886	-1.9110218	5.4207153	-20.20006
3.3469443	-8.359205	-0.41464582	5.4207153	-20.20006
2.417994	-7.9186726	-2.2174797	5.4207153	-20.20006
3.7036803	-9.180417	-1.0323498	-5.7183967	-19.263062
4.043657	-8.790162	-0.37873277	-5.7183967	-19.263062
4.072387	-8.964938	-2.124106	-5.7183967	-19.263062
5.1904798	-7.6984057	-1.9732711	-8.449569	-13.264581
6.3181486	-10.099791	-0.87672675	-8.449569	-13.264581
5.3221607	-10.126126	-0.6109703	-8.449569	-13.264581
2.6861446	-11.869105	0.11207857	-7.5697885	-10.996442
3.5097501	-9.987263	-0.7163152	-7.5697885	-10.996442
2.2360346	-10.545112	-0.46971244	-7.5697885	-10.996442
1.4962264	-9.407866	0.8351275	-5.7748713	-9.190082
3.2607532	-10.29372	1.1703157	-5.7748713	-9.190082
3.5049617	-8.31611	1.4049475	-5.7748713	-9.190082
4.556016	-7.7295303	1.3187562	-13.985946	-13.004371
5.279065	-7.5858784	1.8191444	-13.985946	-13.004371
5.2742767	-7.5499654	2.7313352	-13.985946	-13.004371
4.668544	-6.4941225	2.0106804	-11.148145	-14.7271805
5.2958245	-5.0336595	1.1535563	-11.148145	-14.7271805
5.920711	-6.2116065	0.8399159	-11.148145	-14.7271805
6.9717655	-4.518906	1.043423	-12.364419	-15.652642
7.917475	-5.2251954	1.5557822	-12.364419	-15.652642
8.583063	-4.2627263	1.7856256	-12.364419	-15.652642
9.476101	-5.4741926	1.9125183	-11.63728	-17.657688
9.962124	-3.745579	2.278831	-11.63728	-17.657688
9.033174	-3.484611	3.1718683	-11.63728	-17.657688
8.298154	-3.5779848	3.7943609	-8.6968	-18.02073
7.151331	-3.1350574	4.3953056	-8.6968	-18.02073
8.14253	-2.1055508	4.972308	-8.6968	-18.02073
8.453776	-1.5788264	3.1646857	-7.760251	-15.931613
8.48969	-3.367295	1.3690344	-7.760251	-15.931613
9.310901	-3.9730282	2.906112	-7.760251	-15.931613
9.751434	-7.339276	2.810344	-9.451475	-15.999899
10.117746	-7.6864347	2.5326164	-9.451475	-15.999899
7.1010528	-6.4941225	6.064064	-9.451475	-15.999899
8.36998	-3.6186862	2.7026048	-10.477995	-15.59462
7.225551	-6.510882	2.776825	-10.477995	-15.59462
6.650943	-5.806987	0.5933131	-10.477995	-15.59462
6.770653	-3.9203556	0.92610717	-11.804355	-15.968895
7.58947	-5.2730794	1.3379098	-11.804355	-15.968895
8.168866	-5.7279778	-0.99643683	-11.804355	-15.968895
9.387515	-4.7774796	0.4352958	-9.530165	-15.20855
9.387515	-7.279421	1.2229881	-9.530165	-15.20855
9.576657	-6.2618847	-0.31648353	-9.530165	-15.20855
8.152107	-5.0456305	1.2229881	-8.476143	-16.791151
7.0244384	-7.3368816	3.394529	-8.476143	-16.791151
7.189638	-7.2722383	3.7057753	-8.476143	-16.791151
7.285406	-6.9083195	5.2069397	-7.2854795	-17.106852
5.3413143	-7.607426	3.3777697	-7.2854795	-17.106852
6.595876	-5.3473	0.96441436	-7.2854795	-17.106852
7.3476553	-3.9754224	-0.8503905	-6.5461535	-17.463726
6.8400846	-4.8421235	-0.77138186	-6.5461535	-17.463726
7.2878003	-4.8684597	-1.4585178	-6.5461535	-17.463726
8.020426	-5.7878327	-1.2023382	-5.9026237	-17.100567
8.788965	-4.2914567	-2.9070098	-5.9026237	-17.100567
8.867973	-4.954651	-3.2326212	-5.9026237	-17.100567
9.394698	-5.0432363	-2.0881927	-4.576419	-18.321844
8.951771	-4.2292075	-3.4528878	-4.576419	-18.321844
8.264635	-5.502923	-2.9788358	-4.576419	-18.321844
7.1848497	-4.5356655	-0.66603696	-3.0089767	-19.245955
7.127389	-6.4486327	-1.8368016	-3.0089767	-19.245955
8.525602	-5.0671782	-1.3148656	-3.0089767	-19.245955
7.936629	-4.770297	-1.2526164	-1.429082	-18.452406
6.859238	-7.41589	0.7010522	-1.429082	-18.452406
6.1744967	-3.817405	0.3131915	-1.429082	-18.452406
5.777059	-4.8517003	0.27009588	-0.4129453	-18.845762
6.4498296	-3.8964136	-1.7961001	-0.4129453	-18.845762
5.585523	-6.9801455	-0.91263974	-0.4129453	-18.845762
7.5870757	-7.020847	0.10729016	1.288816	-17.301563
9.385121	-2.917185	-1.0874165	1.288816	-17.301563
9.586234	-5.3425117	-2.1576247	1.288816	-17.301563
9.409063	-7.7295303	-1.460912	2.2963493	-17.767391
10.395474	-8.76622	-0.7330746	2.2963493	-17.767391
7.4913073	-7.7055883	0.5574001	2.2963493	-17.767391
8.477718	-7.2985744	-1.1592425	2.607823	-17.817446
7.639748	-5.074361	-1.2789526	2.607823	-17.817446
6.1984386	-4.222025	-1.0874165	2.607823	-17.817446
7.5822873	-5.452645	-1.7314568	2.6636097	-17.370499
6.751499	-7.3320932	-1.2286744	2.6636097	-17.370499
7.8384666	-7.3105454	-0.88151515	2.6636097	-17.370499
8.037186	-7.6577044	-0.55829793	2.2777312	-17.870537
7.453	-6.9705687	-1.1185411	2.2777312	-17.870537
7.3763857	-7.329699	-1.1927613	2.2777312	-17.870537
6.782624	-6.8364935	-1.652448	3.2788	-18.439318
6.880786	-6.6258035	-1.652448	3.2788	-18.439318
6.7562876	-5.9219084	-1.5901989	3.2788	-18.439318
7.1968207	-6.9538093	-1.2334628	3.812145	-17.168959
6.931064	-6.9322615	-1.3292309	3.812145	-17.168959
7.1728787	-6.68087	-1.3651439	3.812145	-17.168959
7.115418	-7.0759134	-1.3124714	3.0450592	-16.615728
7.1130238	-6.89156	-1.4992192	3.0450592	-16.615728
7.01965	-6.915502	-1.2693758	3.0450592	-16.615728
6.9574003	-7.083096	-1.1041759	2.098694	-16.368965
6.7323456	-7.059154	-1.2310686	2.098694	-16.368965
6.6820674	-6.853253	-1.1640309	2.098694	-16.368965
6.5886936	-7.023241	-1.0251672	2.715217	-16.114202
6.583905	-6.889166	-1.0060136	2.715217	-16.114202
6.8999395	-6.8340993	-1.1640309	2.715217	-16.114202
7.1968207	-6.7718496	-1.1472715	2.7270336	-16.62502
7.1202064	-6.6832643	-1.2574048	2.7270336	-16.62502
6.9717655	-7.0304236	-1.3028946	2.7270336	-16.62502
